line,author,time,text
2,731d744edc0dfe095c71cf35ea1d94e3,07:46,Hi
53,ca4923f2d198f6bbff488e483461b3bc,00:45,a problem I've had in trying to understand the discussions is this: where to draw a boundary on what is HTML -- where are its boundaries?
26,3e093be577921e53a162924fc704d0ce,11:52,added. Mark
58,ab7faae5d7b250ea8606486575f8f79c,15:14,f139aba52f9fa1394b4034a7954b2220: But an infinite loop will only ever have reached a finite number of repetitions...
1,4a6fdd5d81731501f25ef455c753392c,19:39,hey
21,0fa4925cdd56f708af72984363123151,00:40,HARDCORE SUPERSTAR BY FAR
3,ba89b39ba8689f2e2745a75e016039d9,17:57,from
14,a0c580ec722cecfda7ad1e18cb5e26fb,07:27,ok
68,7f9405da4034bf43083e64b57302a8e6,16:10,such is life in the internets :&gt;
92,04a9cb160efc41e8655471a8173afd0d,02:46,"phx, sweet thanks, had no clue"
5,32a34a7c67b9f98570a8ec38ca842a15,06:02,??
6,b48f00fa1c86b948f60be2fac8d4d397,19:53,and u
106,112482274efebe9990a39745e56cbf11,17:44,=)
37,bddfdb28870c5800d938fa0993c46d65,11:23,"I did some error-recovery experiments last week, using Yacc. But I want to try in Java next, because Yacc/Lex isn't very handy with UTF-8 input..."
44,c8fe120d3116d7e2a4df8b736a493bff,16:36,hehe
77,65f0acca6dfced9438f9909d12fb1650,18:25,More please !
1,3eba07ee68c822471b83ff168ca3d438,00:58,hi asl
22,62ff0aa00d0d1bbe0fd846825c8d68b6,05:49,hey man?
16,48a4fba2c4916bbc8aae694a3877dca3,20:57,hey hey
43,09c963b1a743114a322c5e9823ad5788,20:36,Doing that we remove extra request
3,cc044f81c835ebcd0301e5995750023a,17:16,?
3,20a9de7dd35eb972f4b4361646f0af71,10:07,you there?
3,a077f38ba02b7be010a1925d6adf9b82,18:10,hi
1,5068c2c4e3650ef5628bf7ce6b8b81b8,01:08,man looking  for man
78,e3fb62ebfa4f36acf5cbff6a6ed0f2e0,17:01,I suppose headers= is easier to implement
42,d1822d06ed726338433258973733c884,06:45,i guess.
543,89319407d854bb82113349ecf7ce3682,00:44,im sure we will find somewhere 2 go
42,41726f93d800c5c4535b9eb4d210d3b9,03:39,and i can hear you moan
15,0297d141b2d59bb2f5d0606a110c373a,20:43,Wath
61,5c25b7bfc49ce3ff8821c0ec86afa4b7,11:44,"Kyuss, does this teacher run with admin privs?"
13,efb560ad31f5f07dc4baaafafbc79b4d,04:58,you?
1,4851d3bd0d66d97ddb4437f0cb527a85,18:34,There?
4,0a39f78bcb297ab0ebe8a29c28bfed89,15:15,Title: 24 ways: Breaking Out The Edges of The Browser (at 24ways.org)
2,7dc4c37dec0760030227b0011e0c5498,08:44,kamrada hearts marshall
13,a924fb58d2c25874322f4e5126f608b9,15:01,Sure
3,26d49b036615ce8ac3160a973195f499,15:26,wha ?
21,de09a23bb93725ac20602252787d91b5,17:40,asl?
83,c3b5684358e222ac2db30c5496a3b63e,05:06,??
18,cab226fcb652738794354e7c5254cc8c,13:51,asl?
1,1152365c622caee018644408744b3ef6,10:27,hi
80,55f0192b798396599ecfe62c272fe4cc,18:40,:(
390,a5badaedc7c21d1d69882eef8ae210b1,00:57,8 or 830
4,ad9e3af04f3bde179192cbc58b67b8cb,21:36,m uk
64,22625f683d3bf3dd883140da90753a5c,14:32,"anyway, I haven't had this intensive alg classes since highschool, really"
21,41c1712edccc703a6216cdc98e1ef840,09:18,sir or miss ?
7,6bf6443c8d8d3dbd2e8798cefc00d963,13:54,[[hresume-examples-in-wild-fr]]  http://microformats.org/wiki/index.php?title=hresume-examples-in-wild-fr&amp;diff=43694&amp;oldid=32818&amp;rcid=56699 * Johan * (+103)
4,6de90aa1eef0ba07fe4698f671208d41,07:12,u
30,58ad1c4c6f1bf4c98d1341cb2420eae1,04:57,Is it videogames?
12,272c868dbdbed152063a7bcfe7b75482,04:12,hi jlc
42,42e76c77af424a4350ab0e3e3f6f2ce9,15:12,"b8810fee2f4a71f849f3f7409546d1d9, should your reply be listed at the end of that thread or am I looking in the wrong place? http://lists.whatwg.org/pipermail/whatwg-whatwg.org/2008-October/thread.html#16915"
